Cluster,Product_ID,Product_Category,Estimated_Rating
0,8f3a1c2358138bedfb98645db449110c,watches_gifts,5.0
0,c71a9c53596bf311acd9e298a0b3dc42,electronics,5.0
0,e6fd80a00ebb1a3e0d58a38555fbbf2c,computers_accessories,5.0
0,59c1840441f4df065f52760bf51a8442,fashion_bags_accessories,5.0
0,bf359473d58e90d8fc29bf8f3d282ea9,art,5.0
0,3e4176d545618ed02f382a3057de32b4,luggage_accessories,5.0
0,ad2037645597db38527fe3afbe226af2,drinks,5.0
0,aa5889064ca9c81e3a9dc65dd018187c,sports_leisure,4.991841569063623
0,4fa33915031a8cde03dd0d3e8fb27f01,perfumery,4.984196347220943
0,1b8ee158f59c098470fad33f39660964,furniture_living_room,4.98268124054014
1,f8b624d4e475bb8d1bddf1b65c6a64f6,housewares,5.0
1,d4b65aedaa1a847abd993dced5ed2e30,baby,5.0
1,6d6b0f6705c1acf1128ecf19d57d5444,cool_stuff,5.0
1,8173ca41cdb176462f9ae79821a48404,sports_leisure,5.0
1,5650f9e1f73d0a1c0176988cf2e950d5,sports_leisure,5.0
1,3d36ef6c6d553500f4240920658689e3,toys,5.0
1,4c8b28305f570899b6ded964ddd234a9,furniture_decor,5.0
1,8f83335d6508c667813ff14dc437bc81,perfumery,5.0
1,62c89abe1afe3a23c17765d462718a4c,perfumery,5.0
1,4fa33915031a8cde03dd0d3e8fb27f01,perfumery,5.0
2,ad2037645597db38527fe3afbe226af2,drinks,4.904985321882566
2,e6fd80a00ebb1a3e0d58a38555fbbf2c,computers_accessories,4.848142749228802
2,330144665b875c2b4555f88d9f4ed7c1,health_beauty,4.847087994437089
2,8f83335d6508c667813ff14dc437bc81,perfumery,4.842539994956423
2,8173ca41cdb176462f9ae79821a48404,sports_leisure,4.83974945230242
2,1b8ee158f59c098470fad33f39660964,furniture_living_room,4.835282030266286
2,f8b624d4e475bb8d1bddf1b65c6a64f6,housewares,4.834547012997022
2,3e6d2bde9274ac275013aa90d7e2bf16,watches_gifts,4.829620156401386
2,4c8b28305f570899b6ded964ddd234a9,furniture_decor,4.823582337320681
2,4fa33915031a8cde03dd0d3e8fb27f01,perfumery,4.822708284336668
